,Canton,Amount,datetime
0,AG,362,2020-11-01
1,AG,368,2020-12-01
2,AG,393,2021-01-01
3,AG,435,2021-02-01
4,AG,446,2021-03-01
5,AG,461,2021-04-01
6,AG,472,2021-05-01
7,AG,488,2021-06-01
8,AG,502,2021-08-01
9,AG,502,2021-09-01
10,AG,504,2021-10-01
11,AG,512,2021-11-01
12,AG,518,2021-12-01
13,AG,569,2022-01-01
14,AG,575,2022-02-01
15,AG,576,2022-03-01
16,AG,610,2022-04-01
17,AG,645,2022-05-01
18,AG,657,2022-06-01
19,AG,663,2022-07-01
20,AG,681,2022-08-01
21,AG,678,2022-09-01
22,AG,685,2022-10-01
23,AG,705,2022-11-01
24,AI,13,2020-11-01
25,AI,13,2020-12-01
26,AI,13,2021-01-01
27,AI,13,2021-02-01
28,AI,13,2021-03-01
29,AI,12,2021-04-01
30,AI,13,2021-05-01
31,AI,13,2021-06-01
32,AI,13,2021-08-01
33,AI,13,2021-09-01
34,AI,13,2021-10-01
35,AI,13,2021-11-01
36,AI,13,2021-12-01
37,AI,13,2022-01-01
38,AI,13,2022-02-01
39,AI,13,2022-03-01
40,AI,16,2022-04-01
41,AI,19,2022-05-01
42,AI,19,2022-06-01
43,AI,19,2022-07-01
44,AI,19,2022-08-01
45,AI,19,2022-09-01
46,AI,19,2022-10-01
47,AI,19,2022-11-01
48,AR,25,2020-11-01
49,AR,26,2020-12-01
50,AR,28,2021-01-01
51,AR,30,2021-02-01
52,AR,31,2021-03-01
53,AR,33,2021-04-01
54,AR,33,2021-05-01
55,AR,34,2021-06-01
56,AR,36,2021-08-01
57,AR,37,2021-09-01
58,AR,39,2021-10-01
59,AR,40,2021-11-01
60,AR,40,2021-12-01
61,AR,37,2022-01-01
62,AR,35,2022-02-01
63,AR,36,2022-03-01
64,AR,38,2022-04-01
65,AR,42,2022-05-01
66,AR,42,2022-06-01
67,AR,40,2022-07-01
68,AR,42,2022-08-01
69,AR,42,2022-09-01
70,AR,42,2022-10-01
71,AR,43,2022-11-01
72,BE,502,2020-11-01
73,BE,535,2020-12-01
74,BE,567,2021-01-01
75,BE,587,2021-02-01
76,BE,591,2021-03-01
77,BE,610,2021-04-01
78,BE,604,2021-05-01
79,BE,624,2021-06-01
80,BE,642,2021-08-01
81,BE,650,2021-09-01
82,BE,656,2021-10-01
83,BE,658,2021-11-01
84,BE,658,2021-12-01
85,BE,685,2022-01-01
86,BE,694,2022-02-01
87,BE,691,2022-03-01
88,BE,730,2022-04-01
89,BE,778,2022-05-01
90,BE,811,2022-06-01
91,BE,857,2022-07-01
92,BE,886,2022-08-01
93,BE,902,2022-09-01
94,BE,913,2022-10-01
95,BE,946,2022-11-01
96,BL,123,2020-11-01
97,BL,129,2020-12-01
98,BL,136,2021-01-01
99,BL,149,2021-02-01
100,BL,167,2021-03-01
101,BL,178,2021-04-01
102,BL,174,2021-05-01
103,BL,175,2021-06-01
104,BL,172,2021-08-01
105,BL,173,2021-09-01
106,BL,175,2021-10-01
107,BL,182,2021-11-01
108,BL,191,2021-12-01
109,BL,222,2022-01-01
110,BL,222,2022-02-01
111,BL,228,2022-03-01
112,BL,236,2022-04-01
113,BL,244,2022-05-01
114,BL,244,2022-06-01
115,BL,252,2022-07-01
116,BL,261,2022-08-01
117,BL,259,2022-09-01
118,BL,261,2022-10-01
119,BL,266,2022-11-01
120,BS,62,2020-11-01
121,BS,62,2020-12-01
