,BFS-Nr,Gemeindename,EV_Bestand_2010,EV_Bestand_2011,EV_Bestand_2012,EV_Bestand_2013,EV_Bestand_2014,EV_Bestand_2015,EV_Bestand_2016,EV_Bestand_2017,EV_Bestand_2018,EV_Bestand_2019,EV_Bestand_2020,EV_Bestand_2021
0,1,Aeugst am Albis,0.0,0.0,0.0,0.0,4.0,6.0,8.0,7.0,8.0,13.0,27.0,39.0
1,2,Affoltern am Albis,0.0,0.0,0.0,1.0,6.0,8.0,16.0,29.0,35.0,54.0,75.0,103.0
2,3,Bonstetten,1.0,1.0,2.0,2.0,7.0,10.0,15.0,18.0,21.0,29.0,37.0,70.0
3,4,Hausen am Albis,1.0,1.0,1.0,2.0,8.0,11.0,12.0,16.0,21.0,25.0,32.0,45.0
4,5,Hedingen,0.0,0.0,0.0,0.0,1.0,9.0,10.0,14.0,22.0,31.0,45.0,56.0
5,6,Kappel am Albis,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,5.0,9.0
6,7,Knonau,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,9.0,11.0,14.0,32.0
7,8,Maschwanden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,9.0
8,9,Mettmenstetten,0.0,1.0,1.0,2.0,5.0,8.0,13.0,20.0,26.0,36.0,41.0,60.0
9,10,Obfelden,1.0,0.0,0.0,0.0,4.0,7.0,10.0,11.0,18.0,30.0,40.0,68.0
10,11,Ottenbach,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,7.0,12.0,24.0,41.0
11,12,Rifferswil,1.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,10.0,15.0,22.0
12,13,Stallikon,0.0,0.0,1.0,2.0,3.0,6.0,5.0,10.0,14.0,22.0,35.0,45.0
13,14,Wettswil am Albis,0.0,1.0,1.0,2.0,6.0,10.0,14.0,20.0,27.0,41.0,69.0,103.0
14,21,Adlikon,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,4.0,6.0,11.0
15,22,Benken (ZH),0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,7.0,9.0
16,23,Berg am Irchel,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,5.0
17,24,Buch am Irchel,0.0,0.0,1.0,1.0,1.0,2.0,3.0,5.0,5.0,7.0,11.0,23.0
18,25,Dachsen,0.0,0.0,0.0,2.0,2.0,2.0,2.0,7.0,10.0,15.0,19.0,29.0
19,26,Dorf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,7.0
20,27,Feuerthalen,0.0,0.0,1.0,1.0,6.0,9.0,9.0,10.0,15.0,16.0,22.0,32.0
21,28,Flaach,0.0,0.0,0.0,1.0,2.0,3.0,5.0,6.0,8.0,10.0,13.0,22.0
22,29,Flurlingen,0.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,4.0,9.0,10.0,14.0
23,30,Andelfingen,1.0,1.0,2.0,3.0,5.0,6.0,9.0,11.0,16.0,17.0,20.0,30.0
24,31,Henggart,0.0,0.0,1.0,1.0,3.0,4.0,3.0,7.0,13.0,18.0,22.0,37.0
25,32,Humlikon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0
26,33,Kleinandelfingen,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,10.0,17.0
27,34,Laufen-Uhwiesen,0.0,0.0,1.0,1.0,1.0,2.0,3.0,5.0,9.0,14.0,14.0,23.0
28,35,Marthalen,3.0,3.0,3.0,2.0,3.0,2.0,5.0,5.0,6.0,8.0,11.0,18.0
29,37,Ossingen,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,6.0,9.0,11.0,13.0
30,38,Rheinau,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,5.0,7.0,7.0,10.0
31,39,Thalheim an der Thur,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,7.0,9.0,8.0,10.0
32,40,Trüllikon,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,7.0,9.0
33,41,Truttikon,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,13.0
34,43,Volken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0
35,51,Bachenbülach,0.0,1.0,1.0,2.0,3.0,4.0,5.0,8.0,11.0,21.0,35.0,72.0
36,52,Bassersdorf,0.0,0.0,0.0,1.0,9.0,16.0,26.0,31.0,40.0,51.0,75.0,107.0
37,53,Bülach,0.0,0.0,0.0,3.0,10.0,17.0,24.0,32.0,49.0,74.0,92.0,151.0
38,54,Dietlikon,1.0,1.0,2.0,2.0,4.0,13.0,23.0,34.0,45.0,54.0,54.0,98.0
39,55,Eglisau,0.0,0.0,0.0,1.0,2.0,7.0,7.0,9.0,14.0,24.0,48.0,75.0
40,56,Embrach,0.0,1.0,1.0,1.0,5.0,10.0,13.0,20.0,26.0,39.0,54.0,89.0
41,57,Freienstein-Teufen,0.0,0.0,1.0,2.0,2.0,3.0,6.0,7.0,9.0,15.0,22.0,34.0
