BFS-Nr,Ladestationen,EV_Bestand_2021,Strassenlänge(km),Anz_Einwohner,Einwohner_Veränderung_2010-2019,Bevölkerungsdichte_pro_km2,Altersverteilung_0-19,Altersverteilung_20-64,Rohe_Geburtenziffer,Rohe_Sterbeziffer,Durchschn_Haushaltsgrösse,Gesamtfläche(km2),Siedlungsfläche,Landwirtschaftsfläche,Wald&Gehölze,Beschäftigte_1_Sektor,Beschäftigte_2_Sektor,Beschäftigte_3_Sektor,Leerwohnungsziffer,Neu_gebaute_Wohnungen(pro_1000_Einwohner),Sozialhilfequote,CO2-Gesetz_Ja-Anteil,CO2-Gesetz_Stimmbeteiligung
1,1.0,39.0,26.5161559213355,1981.0,8.6074561404,250.4424778761,19.7879858657,62.1908127208,9.0840272521,6.5606863487,2.3242924528,7.91,12.6582278481,51.1392405063,30.8860759494,39.0,25.0,378.0,5.2915766739,13.9103554869,1.01,53.189401374,72.073342736
2,24.0,103.0,66.7118386741978,12303.0,10.9277792805,1161.7563739377,20.1658132163,61.6678858815,12.8811348443,9.2124571988,2.2259793052,10.59,30.6742640076,40.1709401709,28.2051282051,47.0,1307.0,5566.0,1.0055478502,3.7872550634,3.02,51.25,58.204807559
3,4.0,70.0,31.5015706341571,5572.0,8.0054274084,749.932705249,23.6360373295,59.8348887294,9.8920863309,4.3165467626,2.3841856468,7.43,15.4569892473,55.5107526882,28.6290322581,34.0,111.0,869.0,1.1717171717,0.1814223512,1.51,55.077960388,65.184174625
4,0.0,45.0,42.4959571960404,3751.0,11.6369047619,275.8088235294,22.1807517995,59.8240469208,8.5882984434,3.757380569,2.4007731959,13.6,12.6925898753,55.9060895084,28.8334556126,93.0,136.0,792.0,0.6300114548,3.0021834061,1.19,50.0,68.894099258
5,0.0,56.0,33.1427028770205,3778.0,10.7917888563,578.5604900459,21.6251985177,61.6463737427,7.4547390841,6.3897763578,2.3784810127,6.53,19.8170731707,46.3414634146,33.2317073171,29.0,679.0,770.0,0.9626955475,3.2485110991,1.47,54.629097182,69.401506143
6,0.0,9.0,19.9792092139911,1221.0,33.0065359477,154.1666666667,24.9795249795,61.1793611794,10.0925147183,5.0462573591,2.4665314402,7.92,8.3120204604,69.9488491049,20.5882352941,56.0,81.0,182.0,2.1778584392,37.3333333333,0.69,42.077464789,72.090112641
7,0.0,32.0,22.9886582836409,2378.0,32.1111111111,367.542503864,24.3481917578,60.9756097561,12.6289202273,8.4192801515,2.5587918015,6.47,18.0277349769,62.249614792,17.1032357473,55.0,108.0,403.0,0.5882352941,5.6399132321,0.84,48.1444333,67.022696929
8,0.0,9.0,12.7470877013826,645.0,4.7077922078,137.526652452,22.015503876,59.5348837209,6.1491160646,7.6863950807,2.3540145985,4.69,8.9743589744,59.6153846154,23.7179487179,49.0,49.0,77.0,2.9900332226,0.0,1.2280000000000002,44.444444444,74.501108647
9,6.0,60.0,63.1704731658828,5200.0,22.5547961348,399.07904835,23.0961538462,59.2115384615,13.7944433651,4.6629104333,2.4492131617,13.03,15.9908186687,64.2693190513,18.5921958684,148.0,545.0,987.0,1.3250883392,18.2153090463,1.61,51.028963415,72.263374486
10,18.0,68.0,36.656405641016,5721.0,22.0870678617,758.7533156499,23.5797937424,59.6399230904,12.1908127208,6.0070671378,2.4246048697,7.54,24.3386243386,49.0740740741,21.4285714286,51.0,310.0,891.0,2.1454112038,7.2815533981,2.57,44.388456253,62.083568605
