,geometry,GemeindeLabel,AnzahlLadestation
1,"MULTIPOLYGON (((8.503898816312608 47.27308484214842, 8.508525764421275 47.27449810844108, 8.5098412692757 47.27684691720917, 8.508253591003118 47.27788198547985, 8.511020687421048 47.27939477756777, 8.510113442693857 47.28046965615656, 8.511338223075565 47.28289808556085, 8.506801999439615 47.28582414394144, 8.503263745003576 47.28560518719187, 8.49305724182269 47.29245256190562, 8.493147966295409 47.29129806268062, 8.485436386114294 47.29302981151811, 8.483984794550791 47.289128400344, 8.477316545805946 47.28888953843538, 8.473007133351794 47.28727722055221, 8.471147281661056 47.28431135185352, 8.475819592006083 47.28355495580956, 8.476999010151429 47.2816042502225, 8.472871046642716 47.28184311213112, 8.473551480188108 47.28005164781648, 8.472235975333684 47.27949430336303, 8.472190613097323 47.2740402897829, 8.473732929133547 47.27406019494195, 8.476772198969632 47.26894456906569, 8.474821622806175 47.26755120793208, 8.475093796224332 47.26446590827908, 8.472417424279122 47.2633910296903, 8.474368000442579 47.26052468678687, 8.484075519023509 47.2572204303843, 8.487069426623236 47.26068392805928, 8.495053180222508 47.25974838558385, 8.500678097531084 47.26128108283083, 8.502175051330948 47.26132089314893, 8.503672005130809 47.26484410630106, 8.50108635765832 47.27246778221782, 8.503898816312608 47.27308484214842)))",Aeugst am Albis,1.0
2,"MULTIPOLYGON (((8.41467129739349 47.29360706113061, 8.416531149084229 47.29165635554355, 8.419525056683955 47.29293028572285, 8.419388969974875 47.29018337377374, 8.423380846774512 47.28564499750997, 8.42614794319244 47.2791360105001, 8.429504748683042 47.28035022520225, 8.432045033919174 47.27851895056951, 8.432498656282769 47.28042984583846, 8.435855461773372 47.27993221686216, 8.4386225581913 47.27696634816348, 8.43599154848245 47.27465734971349, 8.444474286681675 47.26621756227562, 8.446651674026931 47.26534173527735, 8.44574442929974 47.26414742573426, 8.446107327190617 47.26337112453124, 8.448239352299513 47.26378913287132, 8.447740367699557 47.26780997499975, 8.453637458426291 47.26830760397604, 8.461485125316484 47.26378913287132, 8.467926562879532 47.26329150389503, 8.468425547479486 47.26464505471054, 8.472417424279122 47.2633910296903, 8.475093796224332 47.26446590827908, 8.474821622806175 47.26755120793208, 8.476772198969632 47.26894456906569, 8.473732929133547 47.27406019494195, 8.472190613097323 47.2740402897829, 8.472235975333684 47.27949430336303, 8.473551480188108 47.28005164781648, 8.472871046642716 47.28184311213112, 8.476999010151429 47.2816042502225, 8.475819592006083 47.28355495580956, 8.471147281661056 47.28431135185352, 8.473007133351794 47.28727722055221, 8.477316545805946 47.28888953843538, 8.476726836733272 47.29306962183622, 8.468606996424924 47.29366677660776, 8.466701782497825 47.29241275158751, 8.464978017516165 47.29418431074311, 8.463934686079895 47.2927909496095, 8.460487156116574 47.29416440558406, 8.459715998098464 47.2904023305233, 8.456676728262378 47.29139758847588, 8.450779637535645 47.28892934875348, 8.449373408208499 47.29042223568236, 8.443929939845361 47.29048195115951, 8.441480379081948 47.29384592303923, 8.439393716209413 47.29336819922199, 8.439166905027614 47.29553786155861, 8.435311114937058 47.29557767187671, 8.434313145737148 47.29768761873618, 8.429640835392121 47.29848382509824, 8.429141850792167 47.30067339259392, 8.41467129739349 47.29360706113061)))",Affoltern am Albis,24.0
3,"MULTIPOLYGON (((8.44129893013651 47.31582121863218, 8.446787760736008 47.31436814202142, 8.450688913062924 47.31092454950549, 8.452049780153709 47.31235772095721, 8.454862238807998 47.30925251614516, 8.476772198969632 47.29832458382584, 8.479221759733045 47.29910088502885, 8.482760014169084 47.29713027428274, 8.483848707841712 47.29814543739437, 8.480310453405671 47.30131035768358, 8.482124942860052 47.30980986059861, 8.483667258896276 47.31144208364083, 8.485391023877936 47.31056625664257, 8.491923185913702 47.312278100321, 8.486207544132407 47.3134724098641, 8.483440447714477 47.31621932181321, 8.483485809950837 47.31986196591966, 8.486071457423328 47.32201172309723, 8.483757983368994 47.32378328225282, 8.48221566733277 47.32346479970799, 8.481671320496456 47.32511692790928, 8.477906254878619 47.32463920409204, 8.477180459096868 47.32746573667736, 8.465522364352479 47.32796336565365, 8.465613088825197 47.33240221612216, 8.460078895989339 47.33029226926269, 8.455225136698875 47.3348107403674, 8.454136443026247 47.33475102489025, 8.455089049989795 47.33383538757387, 8.452412678044585 47.32869985653856, 8.44851152571767 47.3259728497485, 8.449963117281174 47.3255150310903, 8.449146597026703 47.32334536875369, 8.4457897915361 47.32000130203302, 8.440527772118399 47.31785154485544, 8.44129893013651 47.31582121863218)))",Bonstetten,4.0
4,"MULTIPOLYGON (((8.574346369378897 47.21707172457725, 8.577158828033186 47.21866413730137, 8.580062011160193 47.21959967977679, 8.579971286687474 47.22155038536385, 8.576115496596918 47.22258545363454, 8.574346369378897 47.22588971003709, 8.568812176543039 47.22744231244312, 8.563459432652619 47.23293613634136, 8.559013933489389 47.24103753607536, 8.547628012163157 47.2477654798348, 8.535425570582454 47.260962600286, 8.531887316146413 47.26625737259372, 8.525309791874287 47.26767063888639, 8.521862261910966 47.26520239916399, 8.518505456420364 47.26643651902519, 8.515602273293357 47.27065641274412, 8.515556911056997 47.27348294532945, 8.511156774130127 47.27011897344973, 8.503898816312608 47.27308484214842, 8.50108635765832 47.27246778221782, 8.503672005130809 47.26484410630106, 8.502175051330948 47.26132089314893, 8.516736329202343 47.25116926203262, 8.513833146075337 47.25015409892099, 8.514377492911651 47.23763375387754, 8.522270522038202 47.23775318483185, 8.522724144401796 47.23926597691977, 8.530526449055628 47.23440911811118, 8.538555564891258 47.23299585181852, 8.54291033958177 47.22961197477974, 8.537693682400429 47.22863662198622, 8.543182512999927 47.22475511597116, 8.541322661309188 47.22409824572245, 8.543953671018038 47.22324232388323, 8.543454686418084 47.22204801434014, 8.552980756053577 47.22164991115911, 8.553842638544408 47.22324232388323, 8.560329438343814 47.21953996429964, 8.572849415579034 47.21838546507465, 8.574346369378897 47.21707172457725)))",Hausen am Albis,0.0
5,"MULTIPOLYGON (((8.436218359664247 47.31520415870158, 8.432045033919174 47.31154160943609, 8.432090396155534 47.30837668914689, 8.429277937501245 47.30724209508095, 8.430774891301109 47.30521176885769, 8.428552141719493 47.30115111641116, 8.429141850792167 47.30067339259392, 8.429640835392121 47.29848382509824, 8.434313145737148 47.29768761873618, 8.435311114937058 47.29557767187671, 8.439166905027614 47.29553786155861, 8.439393716209413 47.29336819922199, 8.441480379081948 47.29384592303923, 8.443929939845361 47.29048195115951, 8.449373408208499 47.29042223568236, 8.450779637535645 47.28892934875348, 8.456676728262378 47.29139758847588, 8.459715998098464 47.2904023305233, 8.460487156116574 47.29416440558406, 8.463934686079895 47.2927909496095, 8.464978017516165 47.29418431074311, 8.466701782497825 47.29241275158751, 8.468606996424924 47.29366677660776, 8.476726836733272 47.29306962183622, 8.482760014169084 47.29713027428274, 8.479221759733045 47.29910088502885, 8.476772198969632 47.29832458382584, 8.454862238807998 47.30925251614516, 8.452049780153709 47.31235772095721, 8.450688913062924 47.31092454950549, 8.446787760736008 47.31436814202142, 8.44129893013651 47.31582121863218, 8.436218359664247 47.31520415870158)))",Hedingen,0.0
6,"MULTIPOLYGON (((8.49840998571311 47.21207552965529, 8.503309107239934 47.21223477092771, 8.505894754712426 47.21384708881089, 8.505078234457955 47.21476272612726, 8.512336192275473 47.21551912217122, 8.51256300345727 47.21942053334533, 8.521227190601934 47.22017692938929, 8.531070795891942 47.21756935355354, 8.532567749691806 47.22212763497635, 8.536378177546004 47.22059493772937, 8.539326722909371 47.22308308261082, 8.543454686418084 47.22204801434014, 8.543953671018038 47.22324232388323, 8.541322661309188 47.22409824572245, 8.543182512999927 47.22475511597116, 8.537693682400429 47.22863662198622, 8.54291033958177 47.22961197477974, 8.538555564891258 47.23299585181852, 8.530526449055628 47.23440911811118, 8.522724144401796 47.23926597691977, 8.522270522038202 47.23775318483185, 8.523586026892627 47.23745460744608, 8.52326849123811 47.23560342765428, 8.515919808947872 47.23476741097411, 8.514558941857089 47.23317499824998, 8.511565034257362 47.23377215302153, 8.512925901348147 47.22917406128061, 8.503127658294495 47.23182144743447, 8.498500710185828 47.23598162567625, 8.494100573258958 47.23506598835988, 8.490471594350199 47.23725555585555, 8.487795222404989 47.23635982369824, 8.483848707841712 47.23761384871848, 8.482850738641805 47.23548399669996, 8.491424201313748 47.22821861364613, 8.48861174265946 47.22334184967849, 8.490199420932042 47.22131152345523, 8.488838553841257 47.22071436868369, 8.489201451732132 47.21892290436904, 8.485436386114294 47.21842527539275, 8.485527110587014 47.21526035510355, 8.489156089495774 47.21082150463504, 8.49840998571311 47.21207552965529)))",Kappel am Albis,0.0
7,"MULTIPOLYGON (((8.485436386114294 47.21842527539275, 8.484801314805262 47.22119209250092, 8.472372062042762 47.22604895130951, 8.467336853806858 47.2303285605056, 8.466883231443264 47.23353329111291, 8.464796568570726 47.23496646256462, 8.458581942189475 47.2340309200892, 8.457810784171365 47.23566314313143, 8.45554267235339 47.2353048502685, 8.452458040280945 47.2395844594646, 8.44846616348131 47.2377730899909, 8.445426893645223 47.24261004364043, 8.442614434990936 47.2409778205982, 8.440890670009274 47.24473989565895, 8.437896762409549 47.24358539643396, 8.437034879918718 47.23878825310253, 8.438804007136739 47.23783280546805, 8.437624588991392 47.23701669394693, 8.442387623809138 47.23480722129221, 8.440573134354759 47.23325461888619, 8.445381531408865 47.22947263866639, 8.447649643226839 47.22513331399314, 8.446198051663336 47.22483473660736, 8.446651674026931 47.2233816599966, 8.447785729935918 47.22001768811688, 8.450280652935689 47.22017692938929, 8.450280652935689 47.22023664486645, 8.452957024880899 47.21776840514405, 8.456676728262378 47.21856461150611, 8.461394400843766 47.21362813206132, 8.470103950224788 47.21340917531175, 8.470421485879303 47.21191628838288, 8.473823653606265 47.21062245304453, 8.473324669006312 47.20853241134411, 8.476227852133318 47.21002529827298, 8.479902193278438 47.20861203198032, 8.483848707841712 47.2084527907079, 8.489156089495774 47.21082150463504, 8.485527110587014 47.21526035510355, 8.485436386114294 47.21842527539275)))",Knonau,0.0
8,"MULTIPOLYGON (((8.435220390464337 47.24756642824428, 8.428733590664931 47.24613325679257, 8.427826345937742 47.24722804054041, 8.420114765756628 47.24605363615636, 8.416485786847868 47.2471484199042, 8.414263037266254 47.24643183417834, 8.413990863848097 47.24366501707017, 8.416485786847868 47.24131620830208, 8.414217675029894 47.23914654596545, 8.416485786847868 47.23697688362883, 8.417030133684182 47.23377215302153, 8.41816418959317 47.22662620092201, 8.420931286011099 47.22565084812848, 8.42170244402921 47.22332194451944, 8.429776922101199 47.22495416756167, 8.437170966627797 47.22368023738237, 8.441117481191073 47.22521293462935, 8.443793853136283 47.22264516911169, 8.446651674026931 47.2233816599966, 8.446198051663336 47.22483473660736, 8.447649643226839 47.22513331399314, 8.445381531408865 47.22947263866639, 8.440573134354759 47.23325461888619, 8.442387623809138 47.23480722129221, 8.437624588991392 47.23701669394693, 8.438804007136739 47.23783280546805, 8.437034879918718 47.23878825310253, 8.437896762409549 47.24358539643396, 8.435220390464337 47.24756642824428)))",Maschwanden,0.0
9,"MULTIPOLYGON (((8.435220390464337 47.24756642824428, 8.437896762409549 47.24358539643396, 8.440890670009274 47.24473989565895, 8.442614434990936 47.2409778205982, 8.445426893645223 47.24261004364043, 8.44846616348131 47.2377730899909, 8.452458040280945 47.2395844594646, 8.45554267235339 47.2353048502685, 8.457810784171365 47.23566314313143, 8.458581942189475 47.2340309200892, 8.464796568570726 47.23496646256462, 8.466883231443264 47.23353329111291, 8.467336853806858 47.2303285605056, 8.472372062042762 47.22604895130951, 8.484801314805262 47.22119209250092, 8.485436386114294 47.21842527539275, 8.489201451732132 47.21892290436904, 8.488838553841257 47.22071436868369, 8.490199420932042 47.22131152345523, 8.48861174265946 47.22334184967849, 8.491424201313748 47.22821861364613, 8.482850738641805 47.23548399669996, 8.483848707841712 47.23761384871848, 8.485300299405218 47.23932569239692, 8.481625958260098 47.24016170907709, 8.478178428296776 47.24444131827318, 8.474821622806175 47.24531714527145, 8.478450601714933 47.24655126513265, 8.474912347278893 47.24836263460634, 8.477951617114979 47.24987542669427, 8.472417424279122 47.25260243348433, 8.476999010151429 47.25439389779898, 8.484665228096183 47.2540953204132, 8.487341600041393 47.25097021044211, 8.491832461440984 47.25061191757917, 8.493147966295409 47.25108964139641, 8.491832461440984 47.25306025214252, 8.50008838845841 47.25799673158731, 8.499362592676659 47.2597284804248, 8.500678097531084 47.26128108283083, 8.495053180222508 47.25974838558385, 8.487069426623236 47.26068392805928, 8.484075519023509 47.2572204303843, 8.474368000442579 47.26052468678687, 8.472417424279122 47.2633910296903, 8.468425547479486 47.26464505471054, 8.467926562879532 47.26329150389503, 8.461485125316484 47.26378913287132, 8.453637458426291 47.26830760397604, 8.447740367699557 47.26780997499975, 8.448239352299513 47.26378913287132, 8.446107327190617 47.26337112453124, 8.44574442929974 47.26414742573426, 8.446651674026931 47.26534173527735, 8.444474286681675 47.26621756227562, 8.440890670009274 47.26564031266312, 8.441707190263745 47.26295311619116, 8.434993579282541 47.26267444396444, 8.435311114937058 47.26112184155841, 8.432226482864612 47.25970857526575, 8.433678074428116 47.25735976649766, 8.432090396155534 47.25369721723217, 8.437216328864157 47.24927827192272, 8.435220390464337 47.24756642824428)))",Mettmenstetten,6.0
10,"MULTIPOLYGON (((8.410089711521181 47.24838253976539, 8.413990863848097 47.24366501707017, 8.414263037266254 47.24643183417834, 8.416485786847868 47.2471484199042, 8.420114765756628 47.24605363615636, 8.427826345937742 47.24722804054041, 8.428733590664931 47.24613325679257, 8.435220390464337 47.24756642824428, 8.437216328864157 47.24927827192272, 8.432090396155534 47.25369721723217, 8.433678074428116 47.25735976649766, 8.432226482864612 47.25970857526575, 8.435311114937058 47.26112184155841, 8.434993579282541 47.26267444396444, 8.441707190263745 47.26295311619116, 8.440890670009274 47.26564031266312, 8.444474286681675 47.26621756227562, 8.43599154848245 47.27465734971349, 8.4386225581913 47.27696634816348, 8.435855461773372 47.27993221686216, 8.432498656282769 47.28042984583846, 8.432045033919174 47.27851895056951, 8.429504748683042 47.28035022520225, 8.42614794319244 47.2791360105001, 8.428552141719493 47.27603080568805, 8.427780983701382 47.27308484214842, 8.424741713865297 47.27330379889798, 8.421883892974648 47.27575213346133, 8.416032164484275 47.27101470560705, 8.401425524376517 47.26816826786268, 8.400563641885688 47.26480429598296, 8.404510156448964 47.26028582487825, 8.402877115940022 47.25461285454854, 8.410089711521181 47.24838253976539)))",Obfelden,18.0
